structure	type	measure	n	top_pval	top_fdr	top_rhoAbs	NA	gap_gm_pval	gap_gm_fdr	gap_gm_rho	gap_gm_rhoAbs	NA.1	gap_wm_pval	gap_wm_fdr	gap_wm_rho	gap_wm_rhoAbs	NA.2	gap_gwm_pval	gap_gwm_fdr	gap_gwm_rho	gap_gwm_rhoAbs
Right caudalmiddlefrontal	cortical	cortical thickness	32272	5.42547621165647e-119	1.38103030842165e-118	0.130987103621548		9.20992109010742e-115	2.34434355020916e-114	-0.128702530275159	0.128702530275159		1.22162013515487e-88	3.20675285478153e-88	-0.113545575934298	0.113545575934298		5.42547621165647e-119	1.38103030842165e-118	-0.130987103621548	0.130987103621548
Left caudalmiddlefrontal	cortical	cortical thickness	32272	4.00583169681777e-116	1.0854511694603e-115	0.12944239121897		4.00583169681777e-116	1.0854511694603e-115	-0.12944239121897	0.12944239121897		6.47585788673721e-82	1.51103350690535e-81	-0.109293586050349	0.109293586050349		1.6433803226748e-114	3.94411277441952e-114	-0.128565511826121	0.128565511826121
Right parsopercularis	cortical	cortical thickness	32272	2.42214604312312e-115	6.35813336319819e-115	0.12901830796276		2.42214604312312e-115	6.35813336319819e-115	-0.12901830796276	0.12901830796276		5.02541307205041e-83	1.2060991372921e-82	-0.110007523494047	0.110007523494047		4.28701539925218e-115	1.05914498099172e-114	-0.128883600209081	0.128883600209081
Left parstriangularis	cortical	cortical thickness	32272	1.63234647855308e-108	3.80880844995719e-108	0.125249334372359		1.63234647855308e-108	3.80880844995719e-108	-0.125249334372359	0.125249334372359		2.53449029828823e-60	5.32242962640528e-60	-0.0943149356178952	0.0943149356178952		2.45864549953705e-96	5.43490057792401e-96	-0.118219716038871	0.118219716038871
Left fusiform	cortical	cortical thickness	32272	8.62596811964386e-104	1.95832789743266e-103	0.122572300235061		8.62596811964386e-104	1.95832789743266e-103	-0.122572300235061	0.122572300235061		8.88363756906376e-37	1.58771394851352e-36	-0.0745407294376149	0.0745407294376149		2.66769587459311e-75	5.46552325526393e-75	-0.1049375478447	0.1049375478447
Right postcentral	cortical	cortical thickness	32272	7.82837790169328e-103	1.7772533614655e-102	0.122022161029055		6.99763756479912e-94	1.5071834754952e-93	-0.116749329668591	0.116749329668591		6.41782523961958e-80	1.45701978412985e-79	-0.107998180071386	0.107998180071386		7.82837790169328e-103	1.7772533614655e-102	-0.122022161029055	0.122022161029055
Right fusiform	cortical	cortical thickness	32272	2.64249191112883e-97	5.8412979088111e-97	0.118794404242247		2.64249191112883e-97	5.8412979088111e-97	-0.118794404242247	0.118794404242247		5.56378126701166e-37	1.015994840063e-36	-0.0747341620550088	0.0747341620550088		8.69496015643186e-73	1.73899203128637e-72	-0.103232837267462	0.103232837267462
Left postcentral	cortical	cortical thickness	32272	1.78462723030115e-92	3.84381249603325e-92	0.115899042459881		4.15809248426834e-87	8.73199421696351e-87	-0.112590854739268	0.112590854739268		2.12433954700012e-70	4.57550056276949e-70	-0.10158692094238	0.10158692094238		1.78462723030115e-92	3.84381249603325e-92	-0.115899042459881	0.115899042459881
Right middletemporal	cortical	cortical thickness	32272	5.1319754201228e-74	1.05142911046418e-73	0.104069474348554		5.1319754201228e-74	1.05142911046418e-73	-0.104069474348554	0.104069474348554		4.10061455062774e-28	6.62406965870635e-28	-0.0657578463461842	0.0657578463461842		3.11766348341209e-55	5.57199431077905e-55	-0.0904120662939856	0.0904120662939856
Right bankssts	cortical	cortical thickness	32272	2.97884226453685e-72	5.9576845290737e-72	0.102865758020116		2.97884226453685e-72	5.9576845290737e-72	-0.102865758020116	0.102865758020116		8.43818064995402e-17	1.20136809253583e-16	-0.052076720216153	0.052076720216153		1.61198207004064e-43	2.50752766450766e-43	-0.0807077015147249	0.0807077015147249
Left lateraloccipital	cortical	cortical thickness	32272	2.03514156250381e-71	3.97562537791442e-71	0.102291502900052		2.03514156250381e-71	3.97562537791442e-71	-0.102291502900052	0.102291502900052		3.72000161408277e-43	7.26697989727797e-43	-0.0803894766698674	0.0803894766698674		2.47764436334618e-66	4.84004945397858e-66	-0.0987168676468142	0.0987168676468142
Left middletemporal	cortical	cortical thickness	32272	1.1308956576956e-68	2.15898261923705e-68	0.100378333806225		1.1308956576956e-68	2.15898261923705e-68	-0.100378333806225	0.100378333806225		2.73653916609425e-19	3.96326361986064e-19	-0.0553804031275117	0.0553804031275117		6.97454985232805e-46	1.12665805306838e-45	-0.0827590791569233	0.0827590791569233
Right posteriorcingulate	cortical	cortical thickness	32272	9.07143109910474e-67	1.69333380516622e-66	0.0990280794329763		9.07143109910474e-67	1.69333380516622e-66	-0.0990280794329763	0.0990280794329763		1.57420515464359e-24	2.44876357389003e-24	-0.0617579063945268	0.0617579063945268		9.13110273437325e-49	1.5039463327203e-48	-0.0851934359993676	0.0851934359993676
Left bankssts	cortical	cortical thickness	32272	1.49564534120744e-66	2.73117844916141e-66	0.0988730227055442		1.49564534120744e-66	2.73117844916141e-66	-0.0988730227055442	0.0988730227055442		2.48653538366865e-08	3.16468139739646e-08	-0.0387339289907073	0.0387339289907073		2.41141763386934e-33	3.61712645080401e-33	-0.0711906362441471	0.0711906362441471
Right parsorbitalis	cortical	cortical thickness	32272	5.74003259388496e-66	1.09582440428713e-65	0.0984552248024396		2.4935435893255e-63	4.36370128131962e-63	-0.0965417729713944	0.0965417729713944		5.20737352111931e-49	1.0668765262781e-48	-0.0853972038094449	0.0853972038094449		5.74003259388496e-66	1.09582440428713e-65	-0.0984552248024396	0.0984552248024396
